,address,listingby,price,beds,baths,sqft,building_type
184,"200 Friedell St, San Francisco, CA 94124","VANGUARD PROPERTIES, Edward R. Deleski","$998,000",3 bds,3 ba,"1,736 sqft",- Condo for sale
185,"916 Silliman St, San Francisco, CA 94134","SHAMROCK REAL ESTATE COMPANY, Janet M. McGee","$998,000",2 bds,1 ba,"1,125 sqft",- House for sale
186,"341 San Fernando Way, San Francisco, CA 94127","BETTER HOMES AND GARDENS REAL, Sonny Tang","$1,890,000",5 bds,4 ba,"2,738 sqft",- House for sale
187,"875 Francisco St, San Francisco, CA 94109","COLDWELL BANKER REALTY, Joel Goodrich","$13,500,000",4 bds,5 ba,"6,330 sqft",- House for sale
188,"2554 Pine St, San Francisco, CA 94115","COMPASS, Soni Goodman","$1,999,000",3 bds,2 ba,"1,620 sqft",- Condo for sale
189,"5900 3rd St UNIT 2412, San Francisco, CA 94124","REAL ESTATE REVOLUTION, Gina W. Tse","$364,510",1 bd,1 ba,816 sqft,- Condo for sale
190,"818 Van Ness Ave APT 509, San Francisco, CA 94109","CORCORAN GLOBAL LIVING, Tim J. Gullicksen","$599,000",1 bd,1 ba,724 sqft,- Condo for sale
191,"1478 Church St, San Francisco, CA 94131",NaN,"$2,195,000",4 bds,3 ba,"2,590 sqft",- House for sale
192,"8 Buchanan St UNIT 502, San Francisco, CA 94102",NaN,"$755,000",1 bd,1 ba,605 sqft,- Condo for sale
193,"1273 Mcallister St, San Francisco, CA 94115","REDFIN, Joanna A. Rose","$1,675,000",4 bds,2 ba,"1,800 sqft",- Condo for sale
194,"1385 19th Ave, San Francisco, CA 94122",NaN,"$1,499,000",4 bds,2 ba,"2,500 sqft",- Multi-family home for sale
195,"3511 Jackson St, San Francisco, CA 94118","Frederick H. Meyer, SOTHEBY'S INTERNATIONAL REALTY, Janet F. Schindler","$7,350,000",4 bds,5 ba,"4,176 sqft",- House for sale
196,"426 Fillmore St #B, San Francisco, CA 94117",NaN,"$995,000",2 bds,2 ba,"1,200 sqft",- Condo for sale
197,"501 Crescent Way APT 5303, San Francisco, CA 94134","HOME QUEST REALTY, Robert  Belli","$588,722",2 bds,2 ba,"1,166 sqft",- Condo for sale
198,"253 11th Ave, San Francisco, CA 94118","KELLER WILLIAMS SAN FRANCISCO, Anthony L. Koutsos","$2,650,000",9 bds,5 ba,"4,500 sqft",- Multi-family home for sale
