,address,listingby,price,beds,baths,sqft,building_type
473,"675 6th Ave, San Francisco, CA 94118","COLDWELL BANKER REALTY, Millie S. Lum","$1,799,000",5 bds,3 ba,"2,750 sqft",- Multi-family home for sale
474,"44 Bonview St, San Francisco, CA 94110",NaN,"$1,599,950",4 bds,2 ba,"1,610 sqft",- House for sale
475,"24 Powers Ave, San Francisco, CA 94110","COMPASS, Michael Freethy","$1,450,000",6 bds,3 ba,"2,315 sqft",- Multi-family home for sale
476,"371 Haight St #375-373, San Francisco, CA 94102","AVENUE 8 INC., Sunae K. Chon","$1,595,000",3 bds,2 ba,-- sqft,- Condo for sale
477,"653 28th St, San Francisco, CA 94131","SOTHEBY'S INTERNATIONAL REALTY, Greg Fulford","$6,195,000",5 bds,6 ba,"4,105 sqft",- New construction
478,"50 Lansing St UNIT 111, San Francisco, CA 94105","SOTHEBY'S INTERNATIONAL REALTY, Ashley Barrington-Mace","$799,000",1 bd,2 ba,677 sqft,- Condo for sale
479,"601 4th St UNIT 329, San Francisco, CA 94107","VANGUARD PROPERTIES, Colleen M. Cotter","$945,000",1 bd,1 ba,"1,104 sqft",- Condo for sale
480,"1930 Taylor St, San Francisco, CA 94133","COMPASS, Maximillian D. Armour","$1,595,000",2 bds,2 ba,"1,060 sqft",- Condo for sale
481,"70 Levant St, San Francisco, CA 94114","COMPASS, William A. Kitchen","$1,825,000",2 bds,2 ba,"1,273 sqft",- House for sale
482,"630 Leavenworth St APT 5, San Francisco, CA 94109","CORCORAN GLOBAL LIVING, Stefano Dezerega","$929,000",2 bds,2 ba,966 sqft,- Condo for sale
483,"2200 Pacific Ave APT 4A, San Francisco, CA 94115","MARKER LUXURY PROPERTIES, Jeffrey S. Marples","$1,488,000",2 bds,2 ba,"1,856 sqft",- Condo for sale
484,"1885 Jackson St APT 101, San Francisco, CA 94109","COLDWELL BANKER REALTY, Luis P. Moran","$1,198,000",2 bds,2 ba,"1,028 sqft",- Condo for sale
485,"1 Ignacio Ave, San Francisco, CA 94124","COMPASS SF, John R. Solaegui","$1,500,000",3 bds,3 ba,"2,044 sqft",- House for sale
486,"631 Ofarrell St APT 910, San Francisco, CA 94109","COMPASS SF, Shannon L. Cronan","$469,000",Studio,1 ba,520 sqft,- Condo for sale
487,"1461 Hayes St, San Francisco, CA 94117","NORTH POINT REAL ESTATE, Laura Lanzone","$1,495,000",2 bds,1 ba,"1,460 sqft",- Condo for sale
488,"3228 Divisadero St #PH, San Francisco, CA 94123","JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine","$2,988,000",3 bds,3 ba,-- sqft,- New construction
489,"461 Allison St, San Francisco, CA 94112","COMPASS, Michael Freethy","$795,000",2 bds,1 ba,925 sqft,- House for sale
490,"606 Ellis St, San Francisco, CA 94109",NaN,"$1,449,888",3 bds,2 ba,"1,635 sqft",- House for sale
491,"2049 15th Ave, San Francisco, CA 94116",NaN,"$1,888,888",3 bds,1 ba,"1,890 sqft",- House for sale
492,"888 7th St #LL-45, San Francisco, CA 94107",NaN,"$828,000",1 bd,2 ba,714 sqft,- Condo for sale
493,"80 Harriet St, San Francisco, CA 94103","COMPASS SF, Helena Zaludova","$2,400,000",4 bds,3 ba,"2,870 sqft",- Multi-family home for sale
494,"110 Channel St UNIT 106, San Francisco, CA 94158","COMPASS, Crystal C. Injo","$1,485,000",2 bds,2 ba,"1,196 sqft",- Condo for sale
495,"236 Linden St, San Francisco, CA 94102","S&L REALTY, Robert D. Link","$1,333,000",3 bds,2 ba,"1,409 sqft",- Condo for sale
496,"2085 Ocean Ave, San Francisco, CA 94127","COLDWELL BANKER REALTY, Jian Ying Lin","$2,178,500",4 bds,3 ba,"2,729 sqft",- House for sale
497,"383 Crescent Ave, San Francisco, CA 94110","VANGUARD PROPERTIES, Robin Hubinsky","$1,175,000",3 bds,1 ba,"1,000 sqft",- House for sale
498,"1380 La Playa St, San Francisco, CA 94122","BRITTON & COMPANY, W.J., Jonathan G. Britton","$2,250,000",6 bds,3 ba,"3,384 sqft",- Multi-family home for sale
499,"1366 Turk St APT 1C, San Francisco, CA 94115",NaN,"$949,888",2 bds,2 ba,"1,226 sqft",- Condo for sale
500,"2755 Fillmore St, San Francisco, CA 94123","COMPASS, Betty A. Taisch","$13,999,000",4 bds,5 ba,"5,142 sqft",- House for sale
501,"280 Spear St #22D, San Francisco, CA 94105","POLARIS PACIFIC, Garrett R. Frakes","$1,780,000",2 bds,2 ba,"1,086 sqft",- New construction
502,"33 Bernard St, San Francisco, CA 94133","KELLER WILLIAMS SAN FRANCISCO, Michael  Minson","$2,249,000",5 bds,4 ba,"2,616 sqft",- Multi-family home for sale
503,"1001 17th St #303, San Francisco, CA 94107","VANGUARD PROPERTIES, Catherine Watson","$699,000",1 bd,1 ba,-- sqft,- Condo for sale
504,"357 Guerrero St, San Francisco, CA 94103","CORCORAN GLOBAL LIVING, Alan Natanson","$1,650,000",2 bds,2 ba,"1,660 sqft",- Condo for sale
505,"2956 Arelious Walker Dr, San Francisco, CA 94124","COLDWELL BANKER REALTY, Karen A. Mai","$541,455",2 bds,1 ba,882 sqft,- Condo for sale
506,"260 King St UNIT 607, San Francisco, CA 94107","VANGUARD PROPERTIES, Malin P. Kansal","$798,888",1 bd,1 ba,896 sqft,- Condo for sale
507,"3965 24th St, San Francisco, CA 94114","PARK NORTH REAL ESTATE, Tim Hawko","$1,475,750",2 bds,2 ba,"2,700 sqft",- Multi-family home for sale
508,"858 Capp St #8, San Francisco, CA 94110","VANGUARD PROPERTIES, Frank A. Nolan","$1,950,000",3 bds,3 ba,"1,638 sqft",- New construction
509,"3878 Jackson St, San Francisco, CA 94118","SOTHEBY'S INTERNATIONAL REALTY, Ronni Garfield","$7,795,000",4 bds,4 ba,"4,609 sqft",- House for sale
510,"1998 Broadway St #807, San Francisco, CA 94109",NaN,"$1,450,000",2 bds,2 ba,"1,030 sqft",- Condo for sale
511,"4165 Cesar Chavez St, San Francisco, CA 94131","COMPASS, Emily Dunn","$1,595,000",3 bds,2 ba,-- sqft,- Condo for sale
512,"45 Bartlett St UNIT 302, San Francisco, CA 94110","COMPASS, Todd D. Montgomery","$895,000",1 bd,1 ba,870 sqft,- Condo for sale
513,"2177 3rd St #723, San Francisco, CA 94107","Woods Bagot, POLARIS PACIFIC, Garrett R. Frakes","$1,300,000",1 bd,1 ba,654 sqft,- New construction
514,"280 Spear St #12D, San Francisco, CA 94105","Tishman Speyer, POLARIS PACIFIC, Garrett R. Frakes","$1,495,000",2 bds,2 ba,"1,097 sqft",- New construction
515,"72 Macondray Ln APT 3, San Francisco, CA 94133","SOTHEBY'S INTERNATIONAL REALTY, David Parry","$825,000",Studio,1 ba,672 sqft,- Condo for sale
516,"248 Myrtle St, San Francisco, CA 94109","REDFIN, Thomas A. Baumgartner","$875,000",2 bds,1 ba,975 sqft,- Condo for sale
517,"Type 18 Plan, Serif",L37 Partners,"$498,250+",-- bds,1 ba,363 sqft,- New construction
518,"2100 Pacific Ave, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Stacey E. Caen","$7,950,000",5 bds,4 ba,"5,180 sqft",- Condo for sale
519,"4 Russian Hill Pl, San Francisco, CA 94133","COLDWELL BANKER REALTY, Joel Goodrich","$5,700,000",3 bds,3 ba,-- sqft,- House for sale
520,"1310 California St, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Marla Moresi-Valdes","$2,050,000",3 bds,2 ba,"1,690 sqft",- Condo for sale
521,"1495 11th Ave, San Francisco, CA 94122",VANGUARD PROPERTIES,"$3,409,000",5 bds,4 ba,"3,450 sqft",- Foreclosure
522,"2830 22nd St #3, San Francisco, CA 94110","VANGUARD PROPERTIES, Sean Jeremy Weinstock","$1,225,000",2 bds,2 ba,"1,090 sqft",- Condo for sale
523,"3877 Jackson St #3879, San Francisco, CA 94118","COMPASS, Dennis R. Otto","$6,495,000",8 bds,6 ba,"6,625 sqft",- Multi-family home for sale
524,"666 Post St APT 603, San Francisco, CA 94109","ASCEND REAL ESTATE, Steven Huang","$699,000",1 bd,1 ba,831 sqft,- Condo for sale
525,"648 Fillmore St, San Francisco, CA 94117","PACIFIC EDGE, Amy C. Clemens","$3,295,000",5 bds,3 ba,"4,477 sqft",- Condo for sale
526,"224 Laidley St, San Francisco, CA 94131","SOTHEBY'S INTERNATIONAL REALTY, Rusty Wadatz","$5,895,000",4 bds,5 ba,-- sqft,- New construction
527,"785 Golden Gate Ave APT 301, San Francisco, CA 94102","COMPASS, Colleen Wang","$980,000",3 bds,2 ba,"1,663 sqft",- Condo for sale
528,"175 Russ St APT 1, San Francisco, CA 94103","COMPASS SF, Jessie Lee","$738,000",1 bd,2 ba,-- sqft,- Condo for sale
529,"69 Clementina St UNIT 801, San Francisco, CA 94105","INDIGO REAL ESTATE, Mollie W. Poe","$1,049,000",2 bds,3 ba,"1,192 sqft",- Condo for sale
530,"200 Brannan St APT 314, San Francisco, CA 94107",NaN,"$830,000",1 bd,1 ba,732 sqft,- Condo for sale
531,"930 Pine St APT 303, San Francisco, CA 94108",NaN,"$1,098,000",2 bds,2 ba,"1,026 sqft",- Condo for sale
532,"152 Lombard St APT 201, San Francisco, CA 94111",NaN,"$1,079,000",2 bds,2 ba,"1,112 sqft",- Condo for sale
533,"776 Tehama St UNIT 9, San Francisco, CA 94103","BETTER HOMES AND GARDENS THRIV, Leilani Ishaan","$375,000",1 bd,1 ba,418 sqft,- Condo for sale
534,"207 King St APT 411, San Francisco, CA 94107","KELLER WILLIAMS SAN FRANCISCO, Miyuki Mia Takami","$1,499,000",2 bds,2 ba,"1,461 sqft",- Condo for sale
535,"77 Dow Pl APT 305, San Francisco, CA 94107","PACIFIC EDGE, Sean Komarmy","$829,000",1 bd,2 ba,985 sqft,- Condo for sale
536,"388 Fulton St #603, San Francisco, CA 94102","COMPASS, Denise L. Paulson","$609,000",Studio,1 ba,326 sqft,- Condo for sale
537,"201 Harrison St APT 805, San Francisco, CA 94105",NaN,"$700,000",1 bd,1 ba,544 sqft,- Condo for sale
538,"388 Fulton St UNIT 212, San Francisco, CA 94102","HOME QUEST REALTY, Robert  Belli","$382,532",1 bd,1 ba,404 sqft,- Condo for sale
539,"555 Innes Ave UNIT 312, San Francisco, CA 94124",Lennar,"$599,000",1 bd,1 ba,655 sqft,- Condo for sale
540,"83 Mcallister St APT 504, San Francisco, CA 94102","DONNA L. NG, BROKER, Donna L. Ng","$488,000",1 bd,1 ba,261 sqft,- Condo for sale
541,"101 Lombard St APT 114W, San Francisco, CA 94111","LEVEL 5 REAL ESTATE, Mary L. Fenton","$950,000",1 bd,1 ba,"1,062 sqft",- Condo for sale
542,"Residence 205, 305, 405, 505, 605 Plan, OneEleven",Z&L Properties,"$599,000+",1 bd,1 ba,529 sqft,- New construction
543,"3131 Pierce St #302, San Francisco, CA 94123","VANGUARD PROPERTIES, Edward R. Deleski","$1,095,000",1 bd,1 ba,719 sqft,- New construction
544,"766 Harrison St UNIT 805, San Francisco, CA 94107","COMPASS, Jing Fang","$450,000",Studio,1 ba,334 sqft,- Condo for sale
545,"3620 Cesar Chavez St #301, San Francisco, CA 94110","VANGUARD PROPERTIES, Massimo F. Loporto","$1,199,000",2 bds,2 ba,"1,144 sqft",- New construction
546,"75 Folsom St APT 902, San Francisco, CA 94105","SKYBOX REALTY, Paul Hwang","$1,395,000",2 bds,2 ba,"1,177 sqft",- Condo for sale
547,"488 Folsom St #4105, San Francisco, CA 94105","RELATED CA RES. SALES, INC., Derec Lacio","$3,085,000",2 bds,3 ba,"1,652 sqft",- New construction
548,"550 Innes Ave #201, San Francisco, CA 94124","Lennar, CORCORAN GLOBAL LIVING, Scott A. Rose","$620,000",2 bds,1 ba,760 sqft,- New construction
549,"1819 Stockton St, San Francisco, CA 94133","SOTHEBY'S INTERNATIONAL REALTY, Carol A. Goldberg","$1,595,000",2 bds,1 ba,"1,560 sqft",- Condo for sale
550,"1494 Revere Ave, San Francisco, CA 94124",NaN,"$999,000",7 bds,3 ba,"2,700 sqft",- Multi-family home for sale
551,"1160 Mission St UNIT 2105, San Francisco, CA 94103","COMPASS SF, Angelo F. Cosentino","$699,000",1 bd,1 ba,664 sqft,- Condo for sale
552,"279 Laidley St, San Francisco, CA 94131","VANGUARD PROPERTIES, Kevin L. Kropp","$1,395,000",2 bds,1 ba,"1,303 sqft",- Condo for sale
553,"164 Henry St #166, San Francisco, CA 94114","COLDWELL BANKER REALTY, Dan McLean","$3,495,000",5 bds,3 ba,"4,287 sqft",- Multi-family home for sale
554,"Residence #219 Plan, Fulton 555",Z&L Properties,"$799,000+",1 bd,1 ba,705 sqft,- New construction
555,"3241 Mission St APT 3, San Francisco, CA 94110",NaN,"$699,888",1 bd,1 ba,597 sqft,- Condo for sale
556,"2227 Beach 2229 St, San Francisco, CA 94123","GM GREEN REAL ESTATE, INC., George M. Green","$3,995,000",6 bds,-- ba,"4,500 sqft",- Multi-family home for sale
557,"1108 Treat Ave, San Francisco, CA 94103","VANGUARD PROPERTIES, Jack A. Burrows","$1,195,000",3 bds,-- ba,-- sqft,- Multi-family home for sale
558,"988 Fulton St APT 114, San Francisco, CA 94117","KINDRED SF HOMES, Jamie Comer","$820,000",1 bd,1 ba,695 sqft,- Condo for sale
559,"Residence #218 Plan, Fulton 555",Z&L Properties,"$1,047,000+",2 bds,1 ba,798 sqft,- New construction
560,"2691 Alemany Blvd, San Francisco, CA 94112","COLDWELL BANKER INFINITI GROUP, David K. Lee","$850,000",2 bds,1 ba,"1,238 sqft",- House for sale
561,"1840 Eddy St, San Francisco, CA 94115","COMPASS, Teresa A. Callan","$3,190,000",5 bds,4 ba,"3,400 sqft",- House for sale
562,"400 Bristol Ct #225, San Francisco, CA 94130","Wilson Meany/Cahill, THE AGENCY, Thomas M. Gasbarre","$818,000",Studio,1 ba,749 sqft,- New construction
563,"35 Dolores St APT 401, San Francisco, CA 94103","COMPASS, Becky Layton","$1,695,000",2 bds,2 ba,"1,227 sqft",- Condo for sale
564,"201 Harrison St APT 526, San Francisco, CA 94105","COMPASS, Matthew W. Finley","$839,000",1 bd,1 ba,795 sqft,- Condo for sale
565,"900 Gilman Ave #900-12, San Francisco, CA 94124","COLDWELL BANKER REALTY, Karen A. Mai","$541,455",2 bds,1 ba,882 sqft,- Condo for sale
566,"280 Spear St #6B, San Francisco, CA 94105","Tishman Speyer, POLARIS PACIFIC, Garrett R. Frakes","$1,595,000",2 bds,2 ba,"1,260 sqft",- New construction
567,"139 Dore St #145, San Francisco, CA 94103","TRIDENT REAL ESTATE, Justin N. Yonker","$4,750,000",12 bds,8 ba,"6,219 sqft",- Multi-family home for sale
568,"2750 Cabrillo St, San Francisco, CA 94121","ANDERSEN, JUNG & CO., Alana Shi","$2,500,000",5 bds,5 ba,"4,800 sqft",- House for sale
569,"3333 24th St #3343, San Francisco, CA 94110","COLLIERS INTERNATIONAL, Brad Lagomarsino","$2,500,000",5 bds,-- ba,"5,940 sqft",- Multi-family home for sale
570,"201 Sansome St UNIT 605, San Francisco, CA 94104","COMPASS, Richard P. Kaluza","$679,000",1 bd,1 ba,565 sqft,- Condo for sale
571,"2412 Harrison St APT 109, San Francisco, CA 94110","NORTH POINT REAL ESTATE, Laura Lanzone","$1,195,000",1 bd,2 ba,"1,352 sqft",- Condo for sale
572,"2200 Pacific Ave APT 2C, San Francisco, CA 94115","COMPASS, Dena Aslanian-Williams","$1,550,000",2 bds,2 ba,"1,850 sqft",- Condo for sale
573,"301 Main St UNIT 8F, San Francisco, CA 94105","COMPASS, Betty A. Taisch","$960,000",1 bd,1 ba,800 sqft,- Condo for sale
574,"721 Randolph St, San Francisco, CA 94132","COMPASS, Michael B. Johnston","$1,289,000",4 bds,1 ba,"2,386 sqft",- Multi-family home for sale
575,"588 Chestnut St, San Francisco, CA 94133","COMPASS, Joshua A. Lawrence","$1,649,000",4 bds,2 ba,"1,420 sqft",- New construction
576,"71 Curtis St #71A, San Francisco, CA 94112","COMPASS, Burton Louie","$1,550,000",3 bds,2 ba,"2,177 sqft",- House for sale
577,"1160 Mission St UNIT 612, San Francisco, CA 94103","HOME QUEST REALTY, Robert  Belli","$308,053",1 bd,1 ba,662 sqft,- Condo for sale
578,"588 Minna St #203, San Francisco, CA 94103","Z&L Properties, COMPASS, Douglas R. Shaw","$649,000",1 bd,1 ba,644 sqft,- New construction
579,"3321 26th St APT 4, San Francisco, CA 94110","VANGUARD PROPERTIES, Robin Hubinsky","$995,000",2 bds,2 ba,"1,034 sqft",- Condo for sale
580,"601 Van Ness Ave APT 51, San Francisco, CA 94102","CORCORAN GLOBAL LIVING, Daniel P. Langford","$849,000",2 bds,2 ba,"1,037 sqft",- Condo for sale
581,"8 Buchanan St UNIT 401, San Francisco, CA 94102","HARPER REAL ESTATE, Anthony R. Navarro","$898,000",2 bds,1 ba,789 sqft,- Condo for sale
582,"655 Corbett Ave #102, San Francisco, CA 94114",NaN,"$600,000",1 bd,1 ba,619 sqft,- Condo for sale
583,"140 S Van Ness Ave UNIT 1041, San Francisco, CA 94103","BETTER HOMES AND GARDENS THRIV, Joan H. Meyer","$639,000",1 bd,1 ba,630 sqft,- Condo for sale
584,"1000 3rd St UNIT 508, San Francisco, CA 94158",NaN,"$998,000",1 bd,1 ba,830 sqft,- Condo for sale
585,"555 4th St UNIT 105, San Francisco, CA 94107","INDIGO REAL ESTATE, Mollie W. Poe","$1,995,000",3 bds,3 ba,"2,279 sqft",- Condo for sale
586,"54 Williams Ave, San Francisco, CA 94124","BAYCAL REALTY CORPORATION, Anthony C. Tsia","$899,000",4 bds,2 ba,"1,992 sqft",- Multi-family home for sale
587,"1835 Franklin St APT 702, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Michael B. Harrington","$1,195,000",2 bds,2 ba,"1,500 sqft",- Condo for sale
588,"218 Winfield St, San Francisco, CA 94110",NaN,"$1,799,000",4 bds,3 ba,"1,997 sqft",- Multi-family home for sale
589,"439 28th Ave, San Francisco, CA 94121","BARBCO, David Yip","$1,980,000",3 bds,-- ba,"3,175 sqft",- Multi-family home for sale
590,"5900 3rd St UNIT 2215, San Francisco, CA 94124","COMPASS, Alek Keytiyev","$949,000",3 bds,3 ba,"1,821 sqft",- Condo for sale
591,"1310 Bowdoin St, San Francisco, CA 94134","COMPASS, James S. Koh","$1,099,000",4 bds,2 ba,"1,794 sqft",- House for sale
592,"301 Mission St APT 10H, San Francisco, CA 94105","ANDERSEN, JUNG & CO., Ronny Budiutama","$750,000",1 bd,1 ba,666 sqft,- Condo for sale
593,"272 Hermann St #276, San Francisco, CA 94117","COMPASS, Michael Freethy","$1,995,000",8 bds,3 ba,"3,750 sqft",- Multi-family home for sale
594,"425 1st St UNIT 4705, San Francisco, CA 94105","COMPASS, Matthew W. Finley","$1,000,000",1 bd,1 ba,710 sqft,- Condo for sale
595,"308 Crescent Ave, San Francisco, CA 94110",NaN,"$2,098,000",5 bds,3 ba,"2,069 sqft",- House for sale
596,"250 King St UNIT 1214, San Francisco, CA 94107","REDFIN, Thomas A. Baumgartner","$869,000",1 bd,1 ba,962 sqft,- Condo for sale
597,"614 Natoma St #616A, San Francisco, CA 94103","JOHN WARNER, BROKER, Angus N. MacDonald","$1,095,000",5 bds,4 ba,"1,508 sqft",- Condo for sale
598,"720 Stockton St APT 6, San Francisco, CA 94108","COLDWELL BANKER REALTY, Jeffrey A. Silver","$1,175,000",2 bds,2 ba,-- sqft,- Condo for sale
599,"1875 Mission St APT 203, San Francisco, CA 94103","KELLER WILLIAMS SAN FRANCISCO, Michael  Minson","$868,000",1 bd,1 ba,810 sqft,- Condo for sale
600,"220 Grand View Ave, San Francisco, CA 94114","STERLING PREMIER PROPERTIES, Tito Avila","$1,899,000",3 bds,2 ba,"1,348 sqft",- House for sale
601,"1177 California St APT 1422, San Francisco, CA 94108","COMPASS, Stephen K. Gomez","$655,000",1 bd,1 ba,538 sqft,- Condo for sale
602,"201 Harrison St APT 802, San Francisco, CA 94105","LAUREL REALTY & INVESTMENT, Jeff J. Appenrodt","$499,000",Studio,1 ba,432 sqft,- Condo for sale
603,"601 Van Ness Ave APT 230, San Francisco, CA 94102","COMPASS, Susan A. Getz","$549,000",1 bd,1 ba,677 sqft,- Condo for sale
604,"1300 22nd St #206, San Francisco, CA 94107","ARTEMIS REAL ESTATE, Rochelle Vandermerwe","$1,365,000",2 bds,2 ba,920 sqft,- Condo for sale
605,"646 Madrid St #648, San Francisco, CA 94112","FAR EAST REALTY, Daniel Lee","$989,000",4 bds,2 ba,"1,400 sqft",- Multi-family home for sale
606,"75 Howard St #304, San Francisco, CA 94105","Paramount Group, Inc. and SRE Group Ltd., POLARIS PACIFIC, Kristin  Evans","$1,850,000",1 bd,2 ba,"1,082 sqft",- New construction
607,"380 14th St APT 208, San Francisco, CA 94103","VANGUARD PROPERTIES, Olivia O. Ongpin","$699,000",1 bd,1 ba,486 sqft,- Condo for sale
608,"1501 Greenwich St UNIT 302, San Francisco, CA 94123","COMPASS SF, Eric John Weaver","$1,395,000",2 bds,2 ba,"1,050 sqft",- New construction
609,"2261 Bush St APT 3, San Francisco, CA 94115","COMPASS, Richard B. Teed","$1,049,000",2 bds,1 ba,750 sqft,- Condo for sale
610,"1545 Pine St #202, San Francisco, CA 94109","COMPASS, Lisa J. Wolfe","$565,000",Studio,1 ba,423 sqft,- New construction
611,"765 Market St APT 34A, San Francisco, CA 94103","SOTHEBY'S INTERNATIONAL REALTY, Gregg Lynn","$9,900,000",4 bds,5 ba,"4,550 sqft",- Condo for sale
612,"338 Main St UNIT 36B, San Francisco, CA 94105","COLDWELL BANKER REALTY, Jayne L. Jones","$8,800,000",3 bds,4 ba,"3,800 sqft",- Condo for sale
613,"1601 11th Ave, San Francisco, CA 94122","COLDWELL BANKER REALTY, Elisabeth Scheidl","$2,150,000",4 bds,4 ba,"2,792 sqft",- Multi-family home for sale
614,"346 1st St APT 106, San Francisco, CA 94105","YAGER REALTY OF CALIFORNIA, Brandon Yager","$880,000",1 bd,2 ba,"1,060 sqft",- Condo for sale
615,"1868 Van Ness Ave APT 401, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Anne M. Herrera","$1,198,000",2 bds,2 ba,989 sqft,- Condo for sale
616,"401 Harrison St APT 24F, San Francisco, CA 94105","SKYBOX REALTY, Pablo M. Cela","$1,340,000",1 bd,1 ba,830 sqft,- Condo for sale
617,"3126 Scott St APT 1, San Francisco, CA 94123","TRIDENT REAL ESTATE, Justin N. Yonker","$1,595,000",2 bds,2 ba,"1,367 sqft",- Condo for sale
618,"1552 Fulton St, San Francisco, CA 94117",NaN,"$2,950,000",8 bds,3 ba,"4,200 sqft",- Foreclosure
619,"248 Carl St, San Francisco, CA 94117","INDIGO REAL ESTATE, Mollie W. Poe","$3,995,000",3 bds,4 ba,"2,864 sqft",- Condo for sale
620,"454 Greenwich St, San Francisco, CA 94133","JILL HACKER REAL ESTATE BROKER, Jill Hacker","$2,500,000",2 bds,2 ba,"1,700 sqft",- House for sale
621,"26 Varennes St, San Francisco, CA 94133","MADISON HUNTER, John Ko","$1,699,000",84 bds,2 ba,"2,952 sqft",- Multi-family home for sale
622,"2310 Hyde St #1, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Gregg Lynn","$4,950,000",3 bds,4 ba,"3,746 sqft",- Condo for sale
623,"2177 3rd St #602, San Francisco, CA 94107","Woods Bagot, POLARIS PACIFIC, Garrett R. Frakes","$1,399,000",2 bds,2 ba,981 sqft,- New construction
624,"2924 Sacramento St, San Francisco, CA 94115","VANGUARD PROPERTIES, Allison Chapleau","$3,450,000",7 bds,2 ba,"4,116 sqft",- Multi-family home for sale
625,"1177 California St APT 224, San Francisco, CA 94108","COMPASS, Maximillian D. Armour","$1,695,000",2 bds,2 ba,"1,653 sqft",- Condo for sale
626,"488 Folsom St #4704, San Francisco, CA 94105","RELATED CA RES. SALES, INC., Derec Lacio","$1,750,000",1 bd,2 ba,987 sqft,- New construction
627,"712 Bryant St APT 4, San Francisco, CA 94107",NaN,"$1,649,999",2 bds,3 ba,"2,097 sqft",- Condo for sale
628,"335 Berry St UNIT 402, San Francisco, CA 94158","COLDWELL BANKER REALTY, Rubi Kawamura","$1,099,000",2 bds,2 ba,917 sqft,- Condo for sale
629,"501 Beale St UNIT 8D, San Francisco, CA 94105","BAY REAL ESTATE GROUP, Shao Ying ""Shirley"" Liang","$1,649,000",2 bds,2 ba,"1,259 sqft",- Condo for sale
630,"1177 California St APT 311, San Francisco, CA 94108","GPK LUXURY REAL ESTATE, Stephen L. Patton","$475,000",Studio,1 ba,437 sqft,- Condo for sale
631,"2860 22nd St #2864, San Francisco, CA 94110","TRUST REAL ESTATE, Tina C. Wong","$1,899,999",8 bds,5 ba,"2,849 sqft",- Multi-family home for sale
632,"170 Pfeiffer St, San Francisco, CA 94133","CORCORAN GLOBAL LIVING, David W. Gowan","$4,850,000",6 bds,5 ba,"4,015 sqft",- Multi-family home for sale
633,"300 Meadowbrook Dr #1, San Francisco, CA 94132","THE AGENCY, Thomas M. Gasbarre","$3,825,000",3 bds,4 ba,"2,379 sqft",- New construction
634,"731 17th Ave, San Francisco, CA 94121","THE FRONT STEPS, Alexander T. Clark","$1,695,000",4 bds,-- ba,"3,330 sqft",- Multi-family home for sale
635,"140 S Van Ness Ave UNIT 1101, San Francisco, CA 94103","VANGUARD PROPERTIES, Kevin L. Kropp","$1,365,000",3 bds,2 ba,"1,800 sqft",- Condo for sale
636,"5700 Mission St APT 4, San Francisco, CA 94112","INTERO REAL ESTATE SERVICES, Edwin M. Camarao","$999,888",4 bds,2 ba,"2,444 sqft",- Condo for sale
637,"555 Golden Gate Ave PENTHOUSE 11, San Francisco, CA 94102","JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine","$1,928,888",3 bds,2 ba,-- sqft,- New construction
638,"149 Arleta Ave, San Francisco, CA 94134",NaN,"$1,399,000",5 bds,3 ba,"2,000 sqft",- House for sale
639,"480 Kansas St, San Francisco, CA 94107","INDIGO REAL ESTATE, Mollie W. Poe","$2,099,000",3 bds,2 ba,-- sqft,- House for sale
640,"177 Townsend St UNIT 422, San Francisco, CA 94107","COMPASS, Pam Godbold","$1,249,000",2 bds,2 ba,"1,025 sqft",- Condo for sale
641,"305 Filbert St, San Francisco, CA 94133","COMPASS SF, Jim Fisher","$3,995,000",2 bds,3 ba,"1,968 sqft",- House for sale
642,"355 1st St PENTHOUSE S2802, San Francisco, CA 94105",NaN,"$2,198,000",2 bds,2 ba,"1,480 sqft",- Condo for sale
643,"250 King St UNIT 604, San Francisco, CA 94107","SOTHEBY'S INTERNATIONAL REALTY, Eric M. Johnson","$699,000",1 bd,1 ba,587 sqft,- Condo for sale
644,"1268 Lombard St #2, San Francisco, CA 94109","COMPASS, Marianne Bacigalupi Schier","$3,299,000",3 bds,2 ba,-- sqft,- Condo for sale
645,"2250 24th St UNIT 329, San Francisco, CA 94107","EPIC REAL ESTATE & ASSO. INC., Eugenia A. Mantzoros","$898,000",2 bds,2 ba,"1,030 sqft",- Condo for sale
646,"870 Harrison St UNIT 602, San Francisco, CA 94107","AMSI, James R. Decker","$785,000",1 bd,1 ba,583 sqft,- Condo for sale
647,"170 Ocean Ave, San Francisco, CA 94112",NaN,"$1,550,000",3 bds,2 ba,"1,950 sqft",- House for sale
648,"201 Harrison St APT 708, San Francisco, CA 94105","PARK NORTH REAL ESTATE, Lisa M. Marroquin","$625,000",1 bd,1 ba,495 sqft,- Condo for sale
649,"95 Farallones St, San Francisco, CA 94112","MAXREAL, Hung K. Kwok","$1,280,000",6 bds,3 ba,"1,950 sqft",- Multi-family home for sale
